track_name,artist(s)_name,artist_count,released_day,released_month,released_year,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,streams
X SI VOLVEMOS,"Karol G, Romeo Santos",2,2,2,2023,2127,33,45,80,53,8,266624541
El Gordo Trae El Mando,Chino Pacas,1,27,1,2023,539,21,7,71,4,2,255932395
VOID,Melanie Martinez,1,29,3,2023,596,0,29,9,12,0,67070410
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,24,3,2023,407,0,16,15,5,0,77377503
HAPPY,NF,1,25,3,2023,660,0,22,7,11,0,52722996
SORRY NOT SORRY,"Tyler, The Creator",2,31,3,2023,709,0,8,1,13,0,58473276
DOGTOOTH,"Tyler, The Creator",2,27,3,2023,1479,0,23,0,18,0,80758350
"ArcÃ¯Â¿Â½Ã¯Â¿Â½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,22,3,2023,654,3,11,3,18,1,100409613
REMIX EXCLUSIVO,Feid,1,17,3,2023,1235,9,20,8,15,0,117206995
People Pt.2 (feat. IU),"IU, Agust D",2,7,4,2023,209,4,4,45,11,2,95816024
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2,3,2023,1208,34,10,41,20,0,146409671
Rosa Pastel,"Jasiel NuÃ¯Â¿Â½Ã¯Â¿Â½ez, Peso P",2,2,2,2023,200,4,8,77,2,1,90025258
Like Crazy (English Version),Jimin,1,24,3,2023,373,19,4,72,5,0,173627354
Don't ever say love me (feat. RM of BTS),"RM, Colde",2,4,5,2023,105,0,5,9,5,0,34502215
Set Me Free Pt.2,Jimin,1,17,3,2023,340,13,4,71,16,1,168448603
Mami Chula,"Quevedo, Jhayco",2,27,4,2023,875,4,17,13,27,0,61105704
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,5,2,2023,1638,10,0,0,21,0,207033255
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,25,4,2023,351,9,16,90,10,0,76910644
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,3,2,2023,356,10,4,64,4,2,147290338
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,14,4,2023,1444,4,0,0,0,0,104992946
Double Fantasy (with Future),"The Weeknd, Future",2,21,4,2023,1169,0,36,65,28,0,96180277
Super,SEVENTEEN,1,24,4,2023,271,12,16,103,9,0,91221625
Shorty Party,"Cartel De Santa, La Kelly",2,4,3,2023,432,12,8,14,12,2,162887075
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,14,3,2023,320,6,5,48,2,1,116334601
If We Ever Broke Up,Mae Stephens,1,10,2,2023,2040,4,81,27,66,9,165584767
Peaches (from The Super Mario Bros. Movie),Jack Black,1,7,4,2023,34,0,0,0,0,0,68216992
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,24,2,2023,1529,0,32,18,39,2,149778242
Sugar Rush Ride,TOMORROW X TOGETHER,1,27,1,2023,359,0,12,56,13,0,107642809
MuÃ¯Â¿Â½Ã¯Â¿Â½,"Steve Aoki, Tini, La Joaqui",3,12,1,2023,658,6,33,7,53,2,120972253
VIBE (feat. Jimin of BTS),"TAEYANG, Jimin",2,13,1,2023,415,2,15,40,21,1,152850295
TRUSTFALL,P!nk,1,27,1,2023,2098,16,88,24,101,7,134255790
I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez",3,27,1,2023,1890,0,86,1,49,0,103787664
LLYLM,ROSALÃ¯Â¿Â½,1,27,1,2023,1838,0,105,41,114,1,124988687
Devil DonÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½,Morgan Wallen,1,3,3,2023,166,0,2,10,0,0,32526947
Born With A Beer In My Hand,Morgan Wallen,1,3,3,2023,203,0,5,9,0,0,34450974
Love Again,The Kid Laroi,1,27,1,2023,1283,0,57,4,48,0,147538971
WANDA,Quevedo,1,20,1,2023,888,22,11,24,7,1,175399345
I AM,IVE,1,10,4,2023,366,15,16,102,7,0,123132751
Ã½Ã½Ã½98 Braves,Morgan Wallen,1,3,3,2023,282,0,6,15,0,0,56533272
Red Ruby Da Sleeze,Nicki Minaj,1,3,3,2023,1168,0,45,11,20,0,81419389
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,3,3,2023,329,0,14,35,1,0,58890931
I Wrote The Book,Morgan Wallen,1,31,1,2023,430,0,15,17,0,0,83021468
Sial,Mahalini,1,23,1,2023,134,4,4,6,0,0,166570053
Heaven,Niall Horan,1,17,2,2023,1553,2,61,6,48,0,144584800
Everything I Love,Morgan Wallen,1,31,1,2023,579,0,11,54,0,0,95623148
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,23,2,2023,1190,0,29,3,18,0,105062254
ThinkinÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½ B,Morgan Wallen,1,3,3,2023,604,6,22,101,0,0,125917280
AinÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½t Tha,Morgan Wallen,1,3,3,2023,356,4,4,20,0,0,88791109
on the street (with J. Cole),"j-hope, J. Cole",2,3,3,2023,615,2,22,82,8,0,116599790
PERO TÃ¯Â¿,"Karol G, Quevedo",2,23,2,2023,387,11,11,15,14,3,93438910
Cupid,Fifty Fifty,1,24,2,2023,526,10,15,93,30,0,139681964
Never Felt So Alone,Labrinth,1,7,4,2023,1730,3,46,5,51,0,117747907
MIENTRAS ME CURO DEL CORA,Karol G,1,24,2,2023,1020,35,15,26,30,6,206399629
PiÃ¯Â¿Â½Ã¯Â¿Â½man DeÃ¯Â¿,"Semicenk, DoÃ¯Â¿Â½Ã¯Â¿Â½u ",2,2,6,2023,185,3,5,6,4,1,43522589
Abcdario,"Junior H, Eden MuÃ¯Â¿Â½Ã¯",2,13,5,2023,262,5,8,60,4,1,89933133
Area Codes,"Kaliii, Kaliii",2,17,3,2023,1197,13,44,34,25,1,113509496
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2,6,2023,332,5,18,41,5,0,70106975
Chanel,"Becky G, Peso Pluma",2,30,3,2023,681,10,15,92,21,2,161460990
Hits Different,Taylor Swift,1,26,5,2023,547,0,15,15,6,0,68616963
S-Class,Stray Kids,1,2,6,2023,290,19,9,101,5,0,65496046
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,15,5,2023,178,6,6,71,1,0,64533040
Antologia,Shakira,1,11,5,2023,955,29,37,50,79,11,123124076
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,1,5,2023,577,14,22,18,15,1,133753727
FLOWER,JISOO,1,31,3,2023,839,18,20,110,20,0,232896922
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2,6,2023,551,4,13,46,20,1,86773632
Better Than Revenge (Taylor's Version),Taylor Swift,1,7,7,2023,86,11,3,33,3,0,30343206
Cheques,Shubh,1,19,5,2023,67,8,7,10,0,0,47956378
Fin de Semana,"Oscar Maydon, Junior H",2,13,1,2023,592,14,11,84,6,1,307370144
Loving you,YOASOBI,1,12,4,2023,356,16,35,102,8,1,143573775
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2,6,2023,727,16,17,60,28,1,94186466
PRC,"Natanael Cano, Peso Pluma",2,23,1,2023,961,26,19,143,10,6,436027885
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,4,4,2023,561,14,4,14,12,5,142095275
Nosso Quadro,"Ana Castela, AgroPlay",2,2,2,2023,894,9,14,88,66,3,233801632
Bye,Peso Pluma,1,26,5,2023,324,14,13,110,8,2,95053634
Mi Bello Angel,Natanael Cano,1,30,6,2023,86,8,7,76,3,1,31873544
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,8,6,2023,773,33,20,46,21,8,57312735
QUEMA,"Sog, Ryan Castro, Peso Pluma",3,13,7,2023,437,31,17,29,26,3,11599388
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2,6,2023,259,0,5,17,5,0,37126685
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,26,5,2023,588,0,23,21,31,0,46142772
Gimme a Second,"Rich The Kid, MatuÃ¯",2,30,4,2023,385,4,17,7,41,1,77233241
Haegeum,Agust D,1,21,4,2023,244,12,6,84,10,2,118810253
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,1,5,2023,327,13,14,110,9,0,92035115
Curtains,Ed Sheeran,1,5,5,2023,715,0,37,3,27,0,39893489
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,4,5,2023,675,1,9,13,11,0,50847624
Oi Balde - Ao Vivo,Neto & Crist,1,14,2,2023,845,2,12,57,47,1,145458418
Danger (Spider) (Offset & JID),"Offset, JID",2,2,6,2023,214,0,3,3,6,0,24975653
Cartao Black,"MC Caverinha, KayBlack",2,11,5,2023,269,4,7,2,30,1,71573339
Cupido,Tini,1,14,2,2023,1240,24,51,29,63,4,217672943
Erro Gostoso - Ao Vivo,Simone Mendes,1,27,1,2023,984,5,8,57,76,2,153454328
Eyes Closed,Ed Sheeran,1,23,3,2023,2915,30,116,69,107,3,195576623
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2,6,2023,197,0,3,10,3,0,32761689
Search & Rescue,Drake,1,7,4,2023,2066,6,58,70,43,0,175097833
NiÃ±a bonita,"Sean Paul, Feid",2,21,4,2023,1305,34,29,26,43,5,115010040
69,"Nicky Jam, Feid",2,18,5,2023,1134,22,39,14,48,2,57945987
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,5,6,2023,215,6,6,14,8,2,51985779
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,1,3,2023,967,5,7,29,51,1,138517666
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2,6,2023,277,1,1,20,5,0,39666245
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,26,5,2023,381,5,23,82,6,0,46065667
Bite Me,ENHYPEN,1,22,5,2023,349,69,8,96,5,0,76767396
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,26,5,2023,359,2,1,0,9,0,60350538
Las Morras,"BLESSD, Peso Pluma",2,4,4,2023,291,8,8,78,4,1,127026613
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, BeyoncÃ¯Â¿",2,19,5,2023,896,0,34,2,33,0,57089066
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,14,7,2023,553,147,43,263,45,10,141381703
